"","","new_section_names"
"1","Date.Started","Survey.date"
"2","Total.Time.Taken","Survey.time"
"3","In.which.country.do.you.live.........","Socio.country"
"4","What.is.the.highest.qualification.you.have.obtained.........","Edu.highest_qualification"
"5","What.was.your.academic.subject.................................................","Edu.academic_subject"
"6","Enter.your.academic.subject........","Edu.academic_other"
"7","Do.you.hold.any.professional.qualifications..If.yes..please.enter.them.separated.by.commas.........","Edu.professional_qualification"
"8","Are.you.employed.primarily.to.develop.software.for.research.","RSE.dev_software"
"9","Do.you.spend.more.time.developing.software.than.conducting.research.","RSE.dev_time"
"10","Are.you.employed.as.a.postdoctoral.researcher.","RSE.post_doc"
"11","Are.you.the.person.who..does.computers..in.your.research.group.","RSE.does_computer"
"12","Do.you.work.for.a.university.........","Job.uniYN"
"13","Which.university.........","Job.uni_name"
"14","X........Which.organisation.do.you.work.for.................","Job.uni_name2"
"15","Which.organisation.do.you.work.for.........","Job.orga_name"
"16","X........................What.is.your.official.job.title..i.e..the.job.title.on.your.contract.of.employment..........","Job.title"
"17","X........In.what.year.did.you.start.your.current.position.................","Job.date"
"18","What.type.of.contract.are.you.employed.on.........","Job.contract"
"19","Month","Job.duration"
"20","Do.you.work.full.time.or.part.time.........","Job.fullTimeYN"
"21","Is.this.your.first.job.........","Job.firstYN"
"22","Have.you.previously.worked.in.the.private.sector.........","Job.previous.private"
"23","Why.did.you.leave.the.private.sector.........","Job.previous.leave"
"24","What.was.the.official.job.title.of.your.previous.job..i.e..the.job.title.stated.on.your.contact.of.employment..........","Job.previous.title"
"25","X........................What.was.the.type.of.your.contract.........","Job.previous.contract"
"26","X........................Are.you.known.in.your.group.by.a.different.job.title..e.g..the.job.title.on.your.group.website.or.business.cards..........","Job.diffYN"
"27","What.is.this.job.title.........","Job.diff_info"
"28","Do.you.work.within.a.group.that.provides.software.development.help.or.expertise.to.researchers.from.other.groups.within.your.organisation.........","Work.expertYN"
"29","X........What.percentage.of.your.time.do.you.spend.developing.software.each.week.................","Work.time_allocated"
"30","Has.your.software.ever.contributed.to.research.that.has.been.published.in.a.journal.or.at.a.conference.........","Contrib.YN"
"31","Were.you.acknowledged.in.the.paper.","Contrib.acknowledgedYN"
"32","Were.you.named.as.a.co.author.of.the.paper.","Contrib.co-authorYN"
"33","Were.you.named.as.the.lead.author.of.the.paper.","Contrib.leadYN"
"34","X........................What.is.the.bus.factor.of.your.most.important.software.project.........................Your..most.important.software.project..is.the.work.related.project.that.you.believe.to.have.had.the.greatest.impact.on.the.research.community.................The..bus.factor..designates.the.minimal.number.of.developers.that.have.to.be.hit.by.a.bus..or.quit..before.a.project.is.incapacitated.................","Stability.bus_factor"
"35","X........................Is.there.a.technical.hand.over.plan.for.your.most.important.software.project.........................Your..most.important.software.project..is.the.work.related.project.that.you.believe.to.have.had.the.greatest.impact.on.the.research.community.................","Stability.hand_over"
"36","Do.you.receive.sufficient.information.on.the.results.of.your.work.","PerfCheck.1.info_result"
"37","Does.your.work.give.you.the.opportunity.to.check.on.how.well.you.are.doing.your.work.","PerfCheck.2.opport_check"
"38","In.your.work..do.you.have.access.to.sufficient.data.and.information.","PerfCheck.3.access_info"
"39","How.often.do.you.feel.frustrated.when.not.given.the.opportunity.to.achieve.your.personal.work.related.goals.","TurnOver.1.frustrated"
"40","How.often.do.you.look.forward.to.another.day.at.work.","TurnOver.2.another_day.INV"
"41","I.am.satisfied.with.my.supervisor.line.manager.s.confidence.in.me","AffRec.1.confidence"
"42","I.am.satisfied.with.a.word.of.thanks.from.my.supervisor.line.manager","AffRec.2.thanks"
"43","My.current.position.is.an.integral.part.of.my.career.plan","ProgRSE.1.career_plan"
"44","It.is.likely.that.my.next.position.will.be.an.RSE.role","ProgRSE.2.next_position"
"45","It.would.not.be.very.difficult.for.me.to.get.an.equivalent.job.in.a.different.organisation","PercEmp.1.equivalent"
"46","I.can.think.of.a.number.of.organisations.that.would.probably.offer.me.a.job","PercEmp.2.other_orga"
"47","My.experience.is.in.demand.on.the.labour.market","PercEmp.3.demand"
"48","I.find.real.enjoyment.in.my.job","AffSat.1.enjoyment"
"49","Most.days.I.am.enthusiastic.about.my.job","AffSat.2.enthusiastic"
"50","I.feel.fairly.well.satisfied.with.my.job","AffSat.3.fairly_well"
"51","I.am.satisfied.with.the.recognition.I.receive.from.my.supervisor.line.manager.for.doing.my.job","AffRec.3.recognition"
"52","I.am.satisfied.with.the.compliments.from.my.supervisor.line.manager.concerning.my.work","AffRec.4.compliment"
"53","I.am.satisfied.with.the.encouragement.from.my.supervisor.line.manager.while.doing.my.job","AffRec.5.encouragement"
"54","It.is.likely.that.I.will.gain.a.promotion.within.my.current.group","ProgRSE.3.promotion"
"55","The.process.I.have.to.complete.to.gain.a.promotion.is.clear.and.understandable","ProgRSE.4.clear"
"56","There.are.many.opportunities.within.my.chosen.career.plan","ProgRSE.5.many_opportunities"
"57","Given.my.qualifications.and.experience..getting.a.new.job.would.not.be.very.hard.at.all","PercEmp.4.not_hard"
"58","I.like.my.job.better.than.the.average.person","AffSat.4.better_ave"
"59","My.current.job.satisfies.my.personal.needs","TurnOver.3.satisfied.INV"
"60","I.would.accept.another.job.at.the.same.compensation.level.if.I.was.offered.it","TurnOver.4.compensation"
"61","Do.you.receive.sufficient.information.on.the.purpose.of.your.work.","PerfCheck.4.sufficient_info"
"62","Does.your.work.provide.you.with.direct.feedback.on.how.well.you.are.doing.your.work.","PerfCheck.5.direct_feedback"
"63","Does.your.supervisor.line.manager.inform.you.about.how.well.you.are.doing.your.work.","PerfCheck.6.supervisor_well"
"64","Do.your.colleagues.inform.you.about.how.well.you.are.doing.your.work.","PerfCheck.7.colleagues"
"65","How.often.do.you.consider.leaving.your.job.","TurnOver.5.consider_leaving"
"66","How.often.do.dream.about.getting.another.job.that.will.better.suit.your.needs.","TurnOver.6.dream"
"67","Skill.1","Misc.skill.imp.1"
"68","Skill.2","Misc.skill.imp.2"
"69","Skill.3","Misc.skill.imp.3"
"70","Are.you.a.member.of.the.UK.RSE.Association...Members.are.people.who.have.signed.up.to.the.UK.RSE.mailing.list.........","Misc.memberYN"
"71","Skill.1.1","Misc.skill.better.1"
"72","Skill.2.1","Misc.skill.better.2"
"73","Skill.3.1","Misc.skill.better.3"
"74","Tool.Service.1","Misc.tool.1"
"75","Tool.Service.2","Misc.tool.2"
"76","Tool.Service.3","Misc.tool.3"
"77","Please.select.your.gender........","Socio.gender"
"78","Please.select.your.age........","Socio.age"
"79","Please.select.the.range.of.your.salary........","Socio.salary"
"80","What.is.your.Operating.System.of.choice.for.use.at.work.........","Misc.OS"
