Discipline,Female,Male
101 Clinical medicine,53,47
102 Clinical dentistry,44,56
103 Nursing & allied health professions,75,25
104 Psychology & behavioural sciences,60,40
105 Health & community studies,66,34
106 Anatomy & physiology,49,51
107 Pharmacy & pharmacology,49,51
108 Sports science & leisure studies,37,63
109 Veterinary science,56,44
"110 Agriculture, forestry & food science",47,53
"111 Earth, marine & environmental sciences",34,66
112 Biosciences,44,56
113 Chemistry,27,73
114 Physics,19,81
115 General engineering,21,79
116 Chemical engineering,27,73
"117 Mineral, metallurgy & materials engineering",26,74
118 Civil engineering,22,78
"119 Electrical, electronic & computer engineering",14,86
"120 Mechanical, aero & production engineering",16,84
"121 IT, systems sciences & computer software engineering",22,78
122 Mathematics,23,77
"123 Architecture, built environment & planning",33,67
124 Geography & environmental studies,40,60
125 Area studies,48,52
126 Archaeology,43,57
127 Anthropology & development studies,50,50
128 Politics & international studies,36,64
129 Economics & econometrics,29,71
130 Law,50,50
131 Social work & social policy,64,36
132 Sociology,54,46
133 Business & management studies,42,58
134 Catering & hospitality management,52,48
135 Education,66,34
136 Continuing education,62,38
137 Modern languages,65,35
138 English language & literature,55,45
139 History,39,61
140 Classics,47,53
141 Philosophy,26,74
142 Theology & religious studies,34,66
143 Art & design,49,51
"144 Music, dance, drama & performing arts",43,57
145 Media studies,41,59
